Press or Release,Key,Time
P,Key.ctrl,1650309796.243389
P,'c',1650309796.6510668
P,'c',1650309798.3289201
Press or Release,Key,Time
P,Key.cmd,1650310075.566808
P,Key.tab,1650310075.666453
R,Key.tab,1650310075.871745
R,Key.cmd,1650310075.8758552
R,<0>,1650310076.129917
P,Key.cmd,1650310078.6244962
P,Key.tab,1650310078.760154
P,Key.tab,1650310079.176469
P,Key.tab,1650310079.2778392
P,Key.tab,1650310079.378965
P,Key.tab,1650310079.480226
P,Key.tab,1650310079.581412
R,Key.tab,1650310079.6277251
P,Key.tab,1650310080.163564
R,Key.tab,1650310080.263972
P,Key.tab,1650310080.931693
R,Key.tab,1650310081.043655
P,Key.tab,1650310081.4996061
R,Key.tab,1650310081.60387
P,Key.tab,1650310081.94742
R,Key.tab,1650310082.047294
P,Key.tab,1650310082.2358668
R,Key.tab,1650310082.335673
R,Key.cmd,1650310082.74835
R,<0>,1650310083.0057979
R,<0>,1650310087.031533
P,'i',1650310091.9932
R,'i',1650310092.0641038
P,'n',1650310092.067483
R,'n',1650310092.1298938
P,'s',1650310093.027524
R,'s',1650310093.1184661
P,'t',1650310094.259968
R,'t',1650310094.327502
P,'a',1650310095.555469
R,'a',1650310095.6807182
P,'g',1650310095.759097
R,'g',1650310095.85026
P,'r',1650310096.003414
R,'r',1650310096.146302
P,'a',1650310096.149805
R,'a',1650310096.269352
P,'m',1650310096.273194
R,'m',1650310096.3613818
P,Key.enter,1650310098.391346
R,Key.enter,1650310098.4674182
P,'f',1650310106.961152
R,'f',1650310107.0544372
P,'p',1650310107.2727091
R,'p',1650310107.364138
P,'d',1650310107.407344
R,'d',1650310107.491804
P,'1',1650310108.423635
R,'1',1650310108.519562
P,Key.shift,1650310108.9096022
R,Key.shift,1650310109.234111
P,'s',1650310109.4612548
R,'s',1650310109.581551
P,'o',1650310109.5892549
R,'o',1650310109.673794
P,'c',1650310109.9075289
R,'c',1650310110.031651
P,'i',1650310110.125865
P,'a',1650310110.184851
R,'i',1650310110.2125099
R,'a',1650310110.313663
P,'l',1650310110.3938339
R,'l',1650310110.457771
P,Key.shift,1650310110.66181
P,'@',1650310110.9095402
R,'@',1650310111.0040698
R,Key.shift,1650310111.0312
P,'g',1650310111.446351
R,'g',1650310111.554337
P,'m',1650310111.627286
R,'m',1650310111.735477
P,'a',1650310111.763406
R,'a',1650310111.8554308
P,'i',1650310111.929337
R,'i',1650310112.0015109
P,'l',1650310112.032546
R,'l',1650310112.135364
P,'.',1650310112.611317
R,'.',1650310112.691475
P,'c',1650310112.807445
R,'c',1650310112.8993878
P,'o',1650310112.900449
P,'m',1650310112.987262
R,'o',1650310112.998561
R,'m',1650310113.09555
P,Key.shift,1650310114.737141
R,Key.shift,1650310115.4372191
P,Key.shift,1650310117.0449688
R,Key.shift,1650310117.438113
P,Key.left,1650310186.6571698
R,Key.left,1650310186.758417
P,'h',1650310258.945948
P,'o',1650310259.0043352
R,'h',1650310259.040458
R,'o',1650310259.121539
P,'w',1650310259.141423
R,'w',1650310259.2335842
P,Key.space,1650310259.277497
R,Key.space,1650310259.369714
P,'a',1650310259.659879
R,'a',1650310259.7765062
P,'b',1650310259.777209
R,'b',1650310259.809879
P,'o',1650310259.866554
R,'o',1650310259.9946408
P,'u',1650310260.585512
R,'u',1650310260.681348
P,'t',1650310260.6887949
R,'t',1650310260.7739599
P,Key.space,1650310260.818305
R,Key.space,1650310260.915048
P,'w',1650310261.5442529
R,'w',1650310261.640964
P,'i',1650310261.662146
R,'i',1650310261.751178
P,'l',1650310261.835319
R,'l',1650310261.9275498
P,'l',1650310261.993243
R,'l',1650310262.072164
P,Key.space,1650310262.146398
R,Key.space,1650310262.213989
P,'s',1650310262.269943
P,'m',1650310262.3431501
R,'s',1650310262.348371
R,'m',1650310262.4615932
P,'i',1650310262.493099
R,'i',1650310262.592606
P,'t',1650310262.6164649
P,'h',1650310262.709953
R,'t',1650310262.719817
R,'h',1650310262.7966988
P,Key.shift,1650310263.364688
P,'?',1650310263.493335
R,'?',1650310263.5562692
R,Key.shift,1650310263.577065
P,Key.space,1650310264.042917
R,Key.space,1650310264.117721
P,'r',1650310268.367164
P,'e',1650310268.417875
R,'r',1650310268.445722
P,'a',1650310268.5713549
R,'e',1650310268.5787032
R,'a',1650310268.667399
P,'l',1650310268.728068
R,'l',1650310268.78431
P,'l',1650310268.857213
R,'l',1650310268.9081368
P,'y',1650310269.098454
R,'y',1650310269.1779578
P,Key.space,1650310269.185822
R,Key.space,1650310269.2904232
P,'u',1650310269.40754
R,'u',1650310269.487086
P,'n',1650310269.594041
P,'p',1650310269.714087
R,'n',1650310269.725745
R,'p',1650310269.827788
P,'o',1650310269.908193
R,'o',1650310269.971767
P,Key.backspace,1650310270.4681149
R,Key.backspace,1650310270.536265
P,'r',1650310270.6051672
R,'r',1650310270.680991
P,'o',1650310270.7474859
R,'o',1650310270.835168
P,'f',1650310270.900043
R,'f',1650310270.964211
P,'f',1650310271.048788
R,'f',1650310271.100062
P,'e',1650310271.147816
P,'s',1650310271.283867
R,'e',1650310271.296984
R,'s',1650310271.404242
P,'i',1650310271.435816
P,'o',1650310271.531887
R,'i',1650310271.555841
P,'n',1650310271.6600058
R,'o',1650310271.6722171
P,'a',1650310271.7636669
R,'n',1650310271.775737
P,'l',1650310271.839804
R,'a',1650310271.843771
R,'l',1650310271.940285
P,Key.space,1650310271.96964
R,Key.space,1650310272.080579
P,'f',1650310272.359008
R,'f',1650310272.435033
P,'r',1650310272.5342689
R,'r',1650310272.614879
P,'o',1650310272.630272
P,'m',1650310272.7069929
R,'o',1650310272.780254
P,Key.space,1650310272.797549
R,'m',1650310272.809759
R,Key.space,1650310272.914942
P,'a',1650310272.943927
P,Key.space,1650310273.019815
R,'a',1650310273.050627
R,Key.space,1650310273.1110919
P,'s',1650310273.254217
R,'s',1650310273.370037
P,'t',1650310273.443881
R,'t',1650310273.544266
P,'n',1650310273.689909
R,'n',1650310273.7781272
P,'d',1650310273.973196
R,'d',1650310274.050164
P,Key.backspace,1650310274.302811
R,Key.backspace,1650310274.36734
P,Key.backspace,1650310274.4186869
R,Key.backspace,1650310274.507315
P,'a',1650310274.536111
R,'a',1650310274.62407
P,'n',1650310274.6639411
P,'d',1650310274.747614
R,'n',1650310274.769803
R,'d',1650310274.851112
P,Key.space,1650310274.86406
R,Key.space,1650310274.957216
P,'u',1650310275.6709151
R,'u',1650310275.770954
P,'p',1650310275.8286211
R,'p',1650310275.944406
P,Key.space,1650310275.963854
R,Key.space,1650310276.087557
P,'g',1650310283.701858
P,'u',1650310283.785648
R,'g',1650310283.796952
R,'u',1650310283.8696902
P,'y',1650310283.941438
R,'y',1650310284.0099268
P,'.',1650310284.4297228
R,'.',1650310284.506897
P,Key.space,1650310284.530751
R,Key.space,1650310284.642754
P,'j',1650310285.6541471
R,'j',1650310285.719299
P,'u',1650310285.8091688
R,'u',1650310285.897752
P,'s',1650310285.911333
R,'s',1650310286.019572
P,'t',1650310286.060627
R,'t',1650310286.156384
P,Key.space,1650310286.163628
R,Key.space,1650310286.280724
P,'l',1650310286.6904619
R,'l',1650310286.751036
P,'i',1650310286.833753
R,'i',1650310286.884833
P,'k',1650310286.973344
R,'k',1650310287.077934
P,'e',1650310287.097218
R,'e',1650310287.1808379
P,Key.space,1650310287.197746
R,Key.space,1650310287.3108091
P,'h',1650310287.540559
R,'h',1650310287.644572
P,'o',1650310287.6486762
P,'w',1650310287.7141278
R,'o',1650310287.759582
R,'w',1650310287.7974532
P,Key.space,1650310287.830622
R,Key.space,1650310287.9370081
P,'h',1650310287.983382
R,'h',1650310288.0807848
P,'e',1650310288.091111
R,'e',1650310288.186431
P,Key.space,1650310288.222614
R,Key.space,1650310288.33519
P,'s',1650310288.347436
R,'s',1650310288.452171
P,'o',1650310288.6415691
R,'o',1650310288.704443
P,'o',1650310288.7731578
R,'o',1650310288.8347452
P,Key.backspace,1650310289.093549
R,Key.backspace,1650310289.169565
P,Key.backspace,1650310289.2283268
R,Key.backspace,1650310289.300807
P,'t',1650310289.36918
R,'t',1650310289.453696
P,'o',1650310289.636279
R,'o',1650310289.713959
P,'o',1650310289.781335
R,'o',1650310289.852849
P,'d',1650310289.915355
R,'d',1650310290.011572
P,Key.space,1650310290.014859
R,Key.space,1650310290.115284
P,'u',1650310290.354194
P,'p',1650310290.458153
R,'u',1650310290.481385
P,Key.space,1650310290.501135
R,'p',1650310290.5332322
R,Key.space,1650310290.6265862
P,'a',1650310290.747414
P,'n',1650310290.827456
R,'a',1650310290.842644
P,'d',1650310290.9353302
R,'n',1650310290.9365041
R,'d',1650310291.031805
P,Key.space,1650310291.038243
R,Key.space,1650310291.159328
P,'s',1650310291.3274298
R,'s',1650310291.398763
P,'l',1650310291.42501
R,'l',1650310291.520648
P,'a',1650310291.828674
P,'p',1650310291.939469
R,'a',1650310291.970894
R,'p',1650310292.028605
P,'p',1650310292.065984
R,'p',1650310292.186176
P,'e',1650310292.217341
R,'e',1650310292.285799
P,'d',1650310292.354103
P,Key.space,1650310292.4422982
R,'d',1650310292.4496489
R,Key.space,1650310292.551331
P,'c',1650310292.869299
R,'c',1650310292.940334
P,'h',1650310292.986228
R,'h',1650310293.080555
P,'r',1650310293.097934
R,'r',1650310293.170254
P,'i',1650310293.242267
R,'i',1650310293.318599
P,'s',1650310293.925306
R,'s',1650310294.026092
P,Key.space,1650310294.0383449
R,Key.space,1650310294.155724
P,'r',1650310294.230442
R,'r',1650310294.276642
P,'o',1650310294.313961
R,'o',1650310294.393505
P,'c',1650310294.4530492
P,'k',1650310294.533164
R,'c',1650310294.5519412
R,'k',1650310294.64711
P,'.',1650310295.228294
R,'.',1650310295.372124
P,Key.space,1650310295.3761432
R,Key.space,1650310295.497236
P,'u',1650310297.1149719
R,'u',1650310297.199175
P,'n',1650310297.314137
R,'n',1650310297.406156
P,'f',1650310297.448837
R,'f',1650310297.53718
P,'o',1650310297.576193
R,'o',1650310297.66124
P,'r',1650310297.672676
R,'r',1650310297.7531
P,'t',1650310297.8729181
R,'t',1650310297.981164
P,'u',1650310298.003882
R,'u',1650310298.067342
P,'n',1650310298.1979048
