P,'f',1650310998.875393
P,'a',1650310998.988163
R,'f',1650310998.988724
R,'a',1650310999.116342
P,'c',1650310999.152686
R,'c',1650310999.255905
P,'e',1650310999.264155
R,'e',1650310999.365508
P,'b',1650311000.085126
R,'b',1650311000.152392
P,'o',1650311000.18013
R,'o',1650311000.255184
P,'o',1650311000.3120608
R,'o',1650311000.387079
P,'k',1650311000.488797
R,'k',1650311000.54493
P,Key.enter,1650311000.800833
R,Key.enter,1650311000.859929
P,'f',1650311023.7872288
R,'f',1650311023.8779252
P,'a',1650311023.895586
R,'a',1650311024.0200388
P,'c',1650311024.0490172
R,'c',1650311024.188813
P,'e',1650311024.1968472
R,'e',1650311024.3049421
P,'b',1650311025.6253839
R,'b',1650311025.708087
P,'o',1650311026.0080059
R,'o',1650311026.0903838
P,'o',1650311026.1366751
R,'o',1650311026.220204
P,'k',1650311026.325782
R,'k',1650311026.389031
P,Key.enter,1650311026.6320179
R,Key.enter,1650311026.686319
P,'f',1650311029.5809112
R,'f',1650311029.668308
P,'p',1650311029.693386
R,'p',1650311029.7771342
P,'d',1650311029.8207161
R,'d',1650311029.9048629
P,'2',1650311030.1978319
R,'2',1650311030.277931
P,'s',1650311031.172632
R,'s',1650311031.2651892
P,'o',1650311031.281759
R,'o',1650311031.373538
P,'c',1650311031.7086232
R,'c',1650311031.784567
P,'i',1650311031.89424
R,'i',1650311031.974368
P,'a',1650311032.031938
R,'a',1650311032.1196449
P,'l',1650311032.153332
R,'l',1650311032.234953
P,Key.shift,1650311032.449805
P,'@',1650311032.6974819
R,'@',1650311032.7818182
R,Key.shift,1650311032.805778
P,'g',1650311033.5125089
R,'g',1650311033.5969
P,'m',1650311033.651126
R,'m',1650311033.7480168
P,'a',1650311033.797493
R,'a',1650311033.869812
P,'i',1650311033.91576
R,'i',1650311033.991822
P,'l',1650311034.085214
R,'l',1650311034.177471
P,'.',1650311034.423326
R,'.',1650311034.510835
P,'c',1650311034.72135
R,'c',1650311034.798147
P,'p',1650311034.886247
R,'p',1650311034.9547951
P,Key.backspace,1650311035.618753
R,Key.backspace,1650311035.706393
P,'o',1650311035.939753
P,'m',1650311036.035275
R,'o',1650311036.059036
R,'m',1650311036.123436
P,Key.shift,1650311038.593503
R,Key.shift,1650311038.945181
P,Key.shift,1650311042.0105338
R,Key.shift,1650311042.354437
P,Key.shift,1650311044.949387
R,Key.shift,1650311045.2892318
P,Key.shift,1650311049.9443898
P,'S',1650311050.1736
R,'S',1650311050.269069
R,Key.shift,1650311050.285229
P,'o',1650311050.53969
R,'o',1650311050.607402
P,'c',1650311050.8296828
R,'c',1650311050.9135869
P,'i',1650311051.1327648
R,'i',1650311051.200321
P,'a',1650311051.3713238
R,'a',1650311051.46752
P,'l',1650311051.517387
R,'l',1650311051.589612
P,Key.shift,1650311052.1502678
P,'@',1650311052.37423
R,'@',1650311052.490217
R,Key.shift,1650311052.5063171
P,'2',1650311052.9240918
R,'2',1650311053.012625
P,'0',1650311053.187305
R,'0',1650311053.246773
P,'2',1650311053.620115
R,'2',1650311053.692147
P,'2',1650311053.760096
R,'2',1650311053.840249
P,Key.shift,1650311054.368394
P,'!',1650311054.608414
R,'!',1650311054.708108
R,Key.shift,1650311054.7444322
P,Key.enter,1650311055.112602
R,Key.enter,1650311055.167135
P,Key.backspace,1650311063.041875
R,Key.backspace,1650311063.10591
P,Key.backspace,1650311063.1475341
R,Key.backspace,1650311063.2235122
P,'d',1650311063.8413398
P,'p',1650311063.920963
R,'d',1650311063.924275
R,'p',1650311064.001251
P,Key.shift,1650311066.091243
R,Key.shift,1650311066.4151292
P,Key.shift,1650311067.643098
R,Key.shift,1650311068.8989508
P,Key.shift,1650311070.5755389
R,Key.shift,1650311070.923838
P,Key.backspace,1650311100.653682
R,Key.backspace,1650311100.713334
P,Key.backspace,1650311100.7571259
R,Key.backspace,1650311100.825238
P,'p',1650311101.260289
R,'p',1650311101.328424
P,'d',1650311101.347231
R,'d',1650311101.419561
P,Key.shift,1650311103.3995771
R,Key.shift,1650311103.66736
P,Key.shift,1650311104.839531
R,Key.shift,1650311105.1473448
P,'f',1650311191.232695
R,'f',1650311191.356043
P,'a',1650311191.382868
R,'a',1650311191.516194
P,'c',1650311191.574476
R,'c',1650311191.6750772
P,'e',1650311191.709485
R,'e',1650311191.809171
P,'b',1650311191.8814132
R,'b',1650311191.979241
P,'o',1650311192.214819
R,'o',1650311192.285608
P,'o',1650311192.333677
R,'o',1650311192.420591
P,'k',1650311192.5094988
R,'k',1650311192.5702012
P,Key.enter,1650311192.771221
R,Key.enter,1650311192.8262951
P,'f',1650311195.6804202
R,'f',1650311195.768498
P,'p',1650311195.969492
R,'p',1650311196.061528
P,'d',1650311196.21707
R,'d',1650311196.305019
P,'2',1650311196.907671
R,'2',1650311197.027431
P,Key.shift,1650311197.6851819
P,'@',1650311197.977178
R,'@',1650311198.0930932
R,Key.shift,1650311198.1296508
P,'s',1650311198.592544
R,'s',1650311198.700233
P,'o',1650311198.754142
R,'o',1650311198.8424451
P,Key.backspace,1650311199.2763178
R,Key.backspace,1650311199.344351
P,Key.backspace,1650311199.396065
R,Key.backspace,1650311199.472524
P,Key.backspace,1650311199.7999208
R,Key.backspace,1650311199.868692
P,'s',1650311200.183912
R,'s',1650311200.284266
P,'o',1650311200.362143
R,'o',1650311200.446333
P,'c',1650311200.6373298
R,'c',1650311200.7055218
P,'i',1650311201.1054761
R,'i',1650311201.197048
P,'a',1650311201.2681558
R,'a',1650311201.37186
P,'l',1650311201.376246
R,'l',1650311201.4725702
P,Key.shift,1650311201.635936
P,'@',1650311201.956347
R,'@',1650311202.05587
R,Key.shift,1650311202.128267
P,'g',1650311202.474091
R,'g',1650311202.5702379
P,'m',1650311202.582019
R,'m',1650311202.690048
P,'a',1650311202.726828
P,'i',1650311202.8348649
R,'a',1650311202.842091
R,'i',1650311202.9268649
P,'l',1650311202.938866
R,'l',1650311203.0703528
P,'.',1650311203.421134
R,'.',1650311203.501277
P,'c',1650311203.6098628
R,'c',1650311203.7022028
P,'o',1650311203.73815
P,'m',1650311203.830098
R,'o',1650311203.833493
R,'m',1650311203.92215
P,Key.shift,1650311205.3724
R,Key.shift,1650311205.711375
P,Key.shift,1650311207.114288
R,Key.shift,1650311207.810037
P,'t',1650311222.5640562
R,'t',1650311222.614658
P,'h',1650311222.6185448
R,'h',1650311222.740126
P,Key.backspace,1650311223.1773481
R,Key.backspace,1650311223.2198741
P,Key.backspace,1650311223.3098428
R,Key.backspace,1650311223.377973
P,Key.backspace,1650311223.440705
R,Key.backspace,1650311223.5046751
P,'m',1650311223.7393
R,'m',1650311223.823176
P,'y',1650311223.9000268
P,Key.space,1650311224.0070841
R,'y',1650311224.010592
R,Key.space,1650311224.090892
P,'m',1650311224.14371
R,'m',1650311224.269294
P,'i',1650311224.291924
R,'i',1650311224.366391
P,'n',1650311224.387698
R,'n',1650311224.4693289
P,'d',1650311224.546931
R,'d',1650311224.6365051
P,Key.space,1650311224.6529331
R,Key.space,1650311224.748966
P,'i',1650311224.806601
R,'i',1650311224.9148831
P,'s',1650311224.972679
P,Key.space,1650311225.045085
R,'s',1650311225.060193
R,Key.space,1650311225.153228
P,'o',1650311225.3028858
R,'o',1650311225.386243
P,'n',1650311225.400626
R,'n',1650311225.4885461
P,Key.space,1650311225.492553
R,Key.space,1650311225.620845
P,'b',1650311225.896752
R,'b',1650311225.91606
P,'i',1650311226.0419059
R,'i',1650311226.130021
P,'d',1650311226.152941
R,'d',1650311226.2169962
P,'e',1650311226.285852
R,'e',1650311226.3559308
P,'n',1650311226.356651
R,'n',1650311226.440785
P,Key.space,1650311226.458383
R,Key.space,1650311226.5529768
P,'b',1650311226.685836
R,'b',1650311226.7653189
P,'o',1650311226.792361
P,'w',1650311226.872511
R,'o',1650311226.887817
R,'w',1650311226.960994
P,Key.backspace,1650311227.32395
R,Key.backspace,1650311227.379168
P,Key.backspace,1650311227.448572
R,Key.backspace,1650311227.519659
P,Key.backspace,1650311227.5648482
R,Key.backspace,1650311227.6454332
P,'n',1650311227.813854
P,'o',1650311227.8865259
R,'n',1650311227.902445
R,'o',1650311227.988862
P,'w',1650311227.98944
R,'w',1650311228.0660741
P,Key.space,1650311228.0860212
R,Key.space,1650311228.181823
P,Key.backspace,1650311228.472998
R,Key.backspace,1650311228.544391
P,'.',1650311228.787837
R,'.',1650311228.854135
P,Key.space,1650311228.863925
R,Key.space,1650311228.948334
P,'m',1650311230.4598541
R,'m',1650311230.5478451
P,'a',1650311230.5528939
P,'n',1650311230.643662
R,'a',1650311230.652958
R,'n',1650311230.7159958
P,'y',1650311230.820211
R,'y',1650311230.923774
P,Key.space,1650311230.957376
R,Key.space,1650311231.03807
P,'p',1650311231.3445692
R,'p',1650311231.424264
P,'e',1650311231.456173
P,'o',1650311231.5167391
R,'e',1650311231.539597
R,'o',1650311231.603534
P,'p',1650311231.637494
P,'l',1650311231.729791
R,'p',1650311231.737119
P,'e',1650311231.853667
R,'l',1650311231.868923
R,'e',1650311231.917257
P,Key.space,1650311231.925071
R,Key.space,1650311232.0221922
P,'b',1650311263.7574642
R,'b',1650311263.813924
P,'e',1650311263.886765
P,'l',1650311263.947306
R,'e',1650311263.9580002
R,'l',1650311264.0383549
P,'i',1650311264.124492
R,'i',1650311264.159691
P,'e',1650311264.2522812
R,'e',1650311264.353166
P,'v',1650311264.3915992
P,'e',1650311264.503576
R,'v',1650311264.550427
R,'e',1650311264.61971
P,Key.space,1650311264.673751
R,Key.space,1650311264.75337
P,'h',1650311265.175234
R,'h',1650311265.274852
P,'e',1650311265.395734
R,'e',1650311265.48367
P,Key.space,1650311265.49943
R,Key.space,1650311265.607975
P,'i',1650311265.746681
R,'i',1650311265.8297129
P,'s',1650311265.850442
R,'s',1650311265.923295
P,Key.space,1650311265.9271748
R,Key.space,1650311266.0268328
P,'h',1650311266.298042
R,'h',1650311266.385878
P,'e',1650311266.4126809
P,Key.space,1650311266.4923809
R,'e',1650311266.504134
R,Key.space,1650311266.60087
P,'4',1650311269.7686772
R,'4',1650311269.8488908
P,'8',1650311269.86754
R,'8',1650311269.965023
P,'t',1650311270.062561
R,'t',1650311270.142782
P,'h',1650311270.170942
R,'h',1650311270.2628531
P,Key.space,1650311270.306624
R,Key.space,1650311270.394782
P,'p',1650311271.001617
R,'p',1650311271.0817542
P,'r',1650311271.082779
P,'e',1650311271.1750212
R,'r',1650311271.204383
P,'s',1650311271.34558
R,'e',1650311271.35308
R,'s',1650311271.445801
P,'i',1650311271.556609
R,'i',1650311271.641226
P,'d',1650311271.664613
R,'d',1650311271.75255
P,'e',1650311271.8376489
R,'e',1650311271.917008
P,'n',1650311271.9418628
R,'n',1650311272.0253382
P,'t',1650311272.084357
R,'t',1650311272.135694
P,Key.space,1650311272.177002
R,Key.space,1650311272.2657669
P,Key.backspace,1650311272.809477
R,Key.backspace,1650311272.885998
P,'.',1650311273.075456
R,'.',1650311273.152032
P,Key.space,1650311273.1973162
R,Key.space,1650311273.289748
P,'i',1650311273.5750122
R,'i',1650311273.6750789
P,Key.space,1650311273.688127
R,Key.space,1650311273.771487
P,'b',1650311273.866513
R,'b',1650311273.923734
P,'l',1650311273.988766
R,'l',1650311274.085383
P,'i',1650311274.162931
R,'i',1650311274.22242
P,'e',1650311274.308817
R,'e',1650311274.358633
P,'b',1650311274.432477
R,'b',1650311274.511443
P,'e',1650311274.535899
R,'e',1650311274.611386
P,Key.backspace,1650311274.884185
R,Key.backspace,1650311274.9451892
P,Key.backspace,1650311274.998461
R,Key.backspace,1650311275.0701618
P,Key.backspace,1650311275.125064
R,Key.backspace,1650311275.19684
P,Key.backspace,1650311275.2594728
R,Key.backspace,1650311275.319573
P,Key.backspace,1650311275.368711
R,Key.backspace,1650311275.4283662
P,'e',1650311275.757845
R,'e',1650311275.845657
P,'l',1650311275.917654
R,'l',1650311276.009503
P,'i',1650311276.20527
R,'i',1650311276.274312
