key,press_time,release_time,platform_id,session_id,user_ids
'A',1.653421276948164e+18,1.653421378072546e+18,1,1,1
'f',1.653421277252283e+18,1.653421277396259e+18,1,1,1
't',1.653421277492075e+18,1.653421277596026e+18,1,1,1
'e',1.653421277684192e+18,1.653421277828019e+18,1,1,1
'r',1.653421277740107e+18,1.653421277859413e+18,1,1,1
Key.space,1.653421277835693e+18,1.65342127794806e+18,1,1,1
'w',1.653421278003897e+18,1.653421278156023e+18,1,1,1
'a',1.653421278100105e+18,1.653421277060867e+18,1,1,1
't',1.653421278300104e+18,1.653421278380135e+18,1,1,1
Key.backspace,1.653421278684036e+18,1.653421278764033e+18,1,1,1
Key.backspace,1.653421278860077e+18,1.653421278947992e+18,1,1,1
Key.backspace,1.653421279020012e+18,1.653421279099831e+18,1,1,1
Key.backspace,1.653421279196031e+18,1.653421279260146e+18,1,1,1
Key.backspace,1.653421279347953e+18,1.653421279428128e+18,1,1,1
Key.backspace,1.653421279540036e+18,1.653421279611935e+18,1,1,1
Key.backspace,1.653421282348028e+18,1.653421282451821e+18,1,1,1
Key.backspace,1.653421282580049e+18,1.6534212826196e+18,1,1,1
Key.backspace,1.653421282755824e+18,1.653421282814228e+18,1,1,1
Key.backspace,1.653421283011902e+18,1.653421283115862e+18,1,1,1
Key.shift,1.653421284211859e+18,1.653421284723824e+18,1,1,1
'A',1.653421284635966e+18,1.653421407343583e+18,1,1,1
's',1.653421284867755e+18,1.653421284979688e+18,1,1,1
Key.space,1.653421285131835e+18,1.653421285219876e+18,1,1,1
's',1.653421285283736e+18,1.653421285371258e+18,1,1,1
'o',1.653421285363878e+18,1.653421285483766e+18,1,1,1
'm',1.653421285491344e+18,1.653421285604618e+18,1,1,1
'e',1.653421285604019e+18,1.653421285731266e+18,1,1,1
'o',1.653421285723695e+18,1.653421285811729e+18,1,1,1
'n',1.653421285819498e+18,1.653421285907741e+18,1,1,1
'e',1.653421285939648e+18,1.653421286043337e+18,1,1,1
Key.space,1.653421286003664e+18,1.653421286083808e+18,1,1,1
'w',1.653421286203824e+18,1.653421286323715e+18,1,1,1
'h',1.653421286331452e+18,1.65342128641173e+18,1,1,1
'o',1.65342128649972e+18,1.65342128655593e+18,1,1,1
Key.space,1.65342128663563e+18,1.653421286715689e+18,1,1,1
'h',1.653421286787771e+18,1.65342128689133e+18,1,1,1
'a',1.653421286867806e+18,1.653421278204003e+18,1,1,1
's',1.65342128694778e+18,1.653421287067652e+18,1,1,1
Key.space,1.653421287043646e+18,1.653421287107737e+18,1,1,1
'n',1.653421287211695e+18,1.653421287283453e+18,1,1,1
'e',1.653421287291683e+18,1.653421287427687e+18,1,1,1
'v',1.653421287395779e+18,1.653421287579858e+18,1,1,1
'e',1.653421287523863e+18,1.653421287699808e+18,1,1,1
'r',1.653421287611676e+18,1.65342128773983e+18,1,1,1
Key.space,1.653421287771772e+18,1.653421287859754e+18,1,1,1
's',1.653421287899645e+18,1.653421288043198e+18,1,1,1
'e',1.653421288019632e+18,1.653421288059668e+18,1,1,1
'e',1.653421288139855e+18,1.653421288259019e+18,1,1,1
'n',1.653421288243694e+18,1.653421288331659e+18,1,1,1
Key.space,1.65342128841172e+18,1.653421288475691e+18,1,1,1
't',1.653421288491649e+18,1.653421288588577e+18,1,1,1
'h',1.653421288587919e+18,1.653421288667579e+18,1,1,1
'e',1.653421288683652e+18,1.653421288763726e+18,1,1,1
Key.space,1.653421288771616e+18,1.65342128886766e+18,1,1,1
