Press or Release,Key,Time
P,'h',1649940905.585393
R,'h',1649940905.713519
P,'e',1649940906.008506
R,'e',1649940906.124436
P,'l',1649940906.21744
R,'l',1649940906.313493
P,'l',1649940906.419147
R,'l',1649940906.5315561
P,'o',1649940906.796059
P,Key.space,1649940906.975969
R,'o',1649940906.995175
R,Key.space,1649940907.1245282
P,'w',1649940907.2660868
R,'w',1649940907.398666
P,'o',1649940907.421209
P,'r',1649940907.561148
R,'o',1649940907.599822
R,'r',1649940907.713568
P,'l',1649940907.788445
P,'d',1649940907.9002812
R,'l',1649940907.9723341
R,'d',1649940908.0604858
P,Key.ctrl,1649940908.7544131
P,'c',1649940909.634292
R,Key.ctrl,1649940911.3188338
P,'l',1649940913.0697541
R,'l',1649940913.232447
P,Key.backspace,1649940913.785994
R,Key.backspace,1649940913.921503
P,'h',1649940914.5672698
R,'h',1649940914.6709719
P,'e',1649940914.870645
R,'e',1649940914.99849
P,'l',1649940915.079762
R,'l',1649940915.1960902
P,'l',1649940915.282937
R,'l',1649940915.402445
P,'o',1649940915.583028
P,Key.space,1649940915.694696
R,'o',1649940915.774627
R,Key.space,1649940915.8587892
P,'u',1649940917.551658
R,'u',1649940917.660918
P,'n',1649940917.836761
R,'n',1649940917.964747
P,'i',1649940918.2356422
P,'v',1649940918.3795662
R,'i',1649940918.4595761
R,'v',1649940918.555862
P,'e',1649940918.7568908
R,'e',1649940918.885209
P,'r',1649940918.993849
R,'r',1649940919.097804
P,'s',1649940919.268726
R,'s',1649940919.385092
P,'e',1649940919.492872
R,'e',1649940919.624913
P,Key.alt,1649940920.20403
R,Key.alt,1649940921.151262
P,Key.ctrl,1649940921.619089
P,'c',1649940922.211025
Press or Release,Key,Time
Press or Release,Key,Time
Press or Release,Key,Time
P,'t',1650083438.1665
P,'e',1650083438.209437
Press or Release,Key,Time
P,Key.ctrl,1650083745.309145
P,'c',1650083746.440999
Press or Release,Key,Time
P,'d',1650083861.2929878
Press or Release,Key,Time
P,'d',1650084007.9721222
Press or Release,Key,Time
P,'d',1650084090.0972989
Press or Release,Key,Time
P,'c',1650084188.84159
P,'c',1650084197.955688
Press or Release,Key,Time
P,'a',1650084285.5306938
Press or Release,Key,Time
Press or Release,Key,Time
Press or Release,Key,Time
P,'d',1650085085.753267
P,Key.cmd,1650085122.530752
P,Key.tab,1650085122.5981052
Press or Release,Key,Time
P,'f',1650085482.882442
Press or Release,Key,Time
P,'c',1650085684.391274
P,'c',1650085684.808157
P,Key.up,1650085836.236542
Press or Release,Key,Time
Press or Release,Key,Time
P,'d',1650117411.472369
R,'d',1650117411.583979
P,'d',1650117412.546856
R,'d',1650117412.6660511
P,'d',1650117413.171607
R,'d',1650117413.3403342
P,'f',1650117414.082839
R,'f',1650117414.216289
P,'v',1650117414.802528
R,'v',1650117414.931041
P,Key.ctrl,1650117415.249844
P,'c',1650117415.8458948
P,'d',1650117418.02305
R,'d',1650117418.254678
P,'f',1650117418.655909
R,'f',1650117418.848256
P,'v',1650117419.1348732
R,'v',1650117419.295124
P,'d',1650117419.57435
R,'d',1650117419.646684
P,'f',1650117420.025635
R,'f',1650117420.1948988
P,Key.ctrl,1650117420.585502
P,'c',1650117420.921789
Press or Release,Key,Time
P,'d',1650117446.4611788
R,'d',1650117446.560886
P,'d',1650117446.912853
R,'d',1650117447.0208378
P,'c',1650117447.56051
R,'c',1650117447.7247722
P,'f',1650117447.9055831
R,'f',1650117448.0698152
P,'v',1650117448.1915781
R,'v',1650117448.323736
P,'g',1650117448.493786
R,'g',1650117448.657567
